company_name,sector,stage,Amount,location,description,ï»¿Company/Brand,Investor,Year
ZipLoan,Finance,Seed,3000000.0,New Delhi,ZipLoan is a online lending platform,,"Stride Ventures, Matrix Partners India",2020
Swipez,FinTech,Seed,3000000.0,Pune,Swipez is a payment collection platform.,,"9Unicorns, Anicut",2020
Humus,Agriculture,Seed,3000000.0,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,,"Venture Catalysts, 9Unicorns, We Founders Circle.",2020
Artivatic.ai,Tech,Seed,3000000.0,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",,"SenseAI Ventures, Saurabh Chugh",2020
Prescinto,Energy,Seed,3000000.0,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,,"Startup incubator, Accelerator Venture Catalysts",2020
Toppeq,SaaS,Seed,3000000.0,Mumbai,SaaS-based equity management platform,,Inflection Point Ventures,2020
Bolo Indya,Video sharing platform,Seed,400000.0,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",,"India Accelerator, Sunil Kamath",2020
Bombay Play,Gaming startup,Seed,1000000.0,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,,"Ramakant Sharma, Leo Capital India",2020
FreshToHome,E-commerce,Seed,3000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,,Investment Corporation of Dubai (ICD),2020
KIKO TV,Video streaming platform,Seed,3000000.0,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,,"9Point8 Capital, Sunil Kumar Singhvi",2020
Atomberg Technologies,Consumer appliances,Series B,9000000.0,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",,"Sandeep Tandon, Survam Partners",2020
DealShare,E-commerce,Series C,21000000.0,Jaipur,DealShare is a Social Commerce Startup,,"Falcon Edge Capital, Omidyar Network",2020
Smallcase,FinTech,Series C,3000000.0,Bangalore,Changing how India invests in equities,,"WEH Ventures, BEENEXT",2020
CueMath,EdTech,Series C,40000000.0,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,,"Sequoia Capital India, CapitalG",2020
Gamerji,Gaming startup,Seed,3000000.0,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",,La Gajjar Group.,2020
5C Network,HealthTech,Pre-series A,1200000.0,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",,"Axilor Ventures, Unitus Ventures",2020
Ethereum Push Notification Service,Blockchain startup,Seed,750000.0,Mumbai,EPNS is a decentralized notification protocol,,Prolific angel investors,2020
Mihup,Conversational AI platform,Series A,1500000.0,Kolkata,Intelligence-based personal mobile assistant app,,"Ideaspring Capital, Accel",2020
RuralBasket,E-commerce,Series A,500000.0,Tirunelveli,Naturally grown and healthy products directly from farmers.,,Nativelead Foundation,2020
WayCool Foods,Agriculture,Series B,7800000.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",,"FMO, IndusInd Bank",2020
Infra.Market,Real Estate,Series B,20000000.0,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,,"Trifecta Capital Advisors, Nexus Venture Partners",2020
Info Edge Venture,Finance,Series B,50000000.0,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",,Lightbox,2020
Clovia,E-commerce,Pre-series C,4000000.0,Noida,Clovia is the online lingerie retailer,,"Golden Birch Investments, She Capital",2020
Codingal,EdTech,Seed,560000.0,Bangalore,Coding education platform for K-12 students,,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",2020
CRED,Finance,Series C,80000000.0,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,,"General Catalyst, Ribbit Capital",2020
Vistaar Finance,Finance,Series C,30000000.0,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,,FMO,2020
Let's Dive,SaaS,Series C,1700000.0,Bangalore,A platform for remote employee engagement and building team culture,,Surge,2020
Habitat,EdTech,Seed,600000.0,Bangalore,"Habitat, a social learning edtech platform for civil service aspirants",,"Unitus Ventures, Whiteboard Capital",2020
SAWO Labs,SaaS,Seed,600000.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,,"StartupXseed Ventures, 100X.VC",2020
Signzy,AI platform,Seed,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,,"Stellaris Venture Partners, Mastercard",2020
KopyKitab,EdTech,Seed,3000000.0,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",,"Paula Mariwala, Siddharth Anand",2020
Kyt,EdTech,Seed,2500000.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,,Sequoia Capital India’s Surge,2020
Raskik,Fusion beverages,Pre-series A,1000000.0,Bangalore,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,,"Venture Catalysts, 9Unicorns",2020
GetWork,HR,Pre-seed,40000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,,India Accelerator,2020
Mobile Premier League (MPL),Gaming,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,,"Pegasus Tech Ventures, Base Partners",2020
Pravasirojgar,Job portal,Series B,33000000.0,Bangalore,Initiative for blue-collar job workers,,GoodWorker.,2020
Omatra Hotels,Hospitality,Seed,3000000.0,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,,Capify,2020
Awign,Job portal,Pre-series B,3000000.0,Bangalore,Operations and manpower outsourcing startup,,"Unitus Ventures, Work10M",2020
NewsReach,Digital Media,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,,"Mumbai Angels, JITO Angel Network.",2020
Cashfree,FinTech,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,,"George Osborne, Smilegate Investment",2020
Credgenics,FinTech,Pre-series A,3000000.0,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",,"Accel India, Breadlake Ventures",2020
GeoIQ,AI startup,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",,"Ankur Mittal, Mitesh Shah",2020
Country Delight,Dairy startup,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,,"IIFL Asset Management, Matrix Partners",2020
Quintype,Content management,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",,IIFL AMC,2020
CARS24,Retail,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,,"Global Car Group, Freemark holdings",2020
Astrogate Labs,Spacetech,Series E,3000000.0,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,,"Venture Catalysts, Speciale Invest",2020
Power Gummies,HealthTech,Series E,3000000.0,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,,Venture Catalysts,2020
Cityflo,Logistics,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,,"Anupam Mittal, India Quotient",2020
AlgoBulls,Trading platform,Series A,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,,Venture Catalysts,2020
Credgenics,FinTech,Pre-series A,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",,"Accel India, Breadlake Ventures",2020
Inntot,Tech,Pre-series A,3000000.0,Kerala,"Inntot Technologies, is a technology driven company.",,Unicorn India Ventures,2020
Ensuredit,FinTech,Pre-series A,300000.0,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,,Venture Catalysts,2020
Shipsy,AI Company,Series A,6000000.0,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,,"DTDC, Udaan Angel Partners",2020
ERPNext,Tech,Series A,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",,Rainmatter,2020
LightSpeedAI,Photonics startup,Series A,3000000.0,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,,"YourNest, growX ventures",2020
Grip Invest,FinTech,Pre-series A,3000000.0,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,,Gemba Capital,2020
Unacademy,EdTech,Pre-series A,3000000.0,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,,"Dragoneer Investment Group, Tiger Global Management",2020
Yellow Classes,EdTech,Pre-series A,1300000.0,Gurugram,New-age fun-learning platform for kids.,,India Quotient,2020
Plum,HealthTech,Pre-series A,4100000.0,Bangalore,High quality health insurance and health benefits,,"Surge, Tanglin Venture Partners",2020
STAGE,Entertainment,Pre-series A,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,,Venture Catalysts,2020
Nykaa,Cosmetics,Pre-series A,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,,"Alia Bhatt, Katrina Kaif",2020
Kaagaz Scanner,Scanning app,Pre-series A,575000.0,Bangalore,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,,Pravega Ventures,2020
NIRA,FinTech,Pre-series A,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",,"Techstars Bangalore Accelerator, Techstars",2020
Prolixr,Skincare startup,Seed,3000000.0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,,"Alfa Ventures, Divij Bajaj",2020
Byju's,EdTech,Seed,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,,"Owl Ventures, Tiger Global Management",2020
DaMENSCH,E-commerce,Seed,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,,"Whiteboard Capital, Matrix Partners India",2020
Country Delight,Food & Beverage,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,,"Orios Venture Partners, Matrix Partners India",2020
SignalX,AI startup,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,,"9Unicorns, 3Lines VC, Hyderabad Angels",2020
Lancify,EdTech,Seed,300000.0,Bangalore,Lancify is building the world's strongest young workforce,,"Techstars, Techstars Bangalore Accelerator",2020
Krimanshi,Biotechnology company,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,,"Rajasthan Venture Capital Fund, AIM Smart City",2020
Instoried,AI startup,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,,"Venture Catalysts, SOSV",2020
PlayerzPot,Gaming startup,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",,Inflection Point Ventures,2020
Instamojo,FinTech,Series A,3000000.0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",,"BASE, Gunosy Capital",2020
Turtlemint,HealthTech,Series A,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,,"Nexus Venture Partners, Dream Incubator",2020
Arata,E-commerce,Pre-series A,1000000.0,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,,DSG Consumer Partners,2020
MPL,Gaming startup,Pre-series A,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,,"Pegasus Tech Ventures, Base Partners",2020
True Balance,FinTech,Pre-series A,28000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,,"IBK Capital, SB Partners",2020
Thrive,FoodTech,Pre-series A,3000000.0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",,"Whiteboard Capital, Ahimsa Capital",2020
Kitchens Centre,Proptech,Pre-series A,3000000.0,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,,"Jonathan Swanson, Ankush Gera",2020
Prescribe,HealthTech,Pre-series A,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,,Titan Capital,2020
Nepra,CleanTech,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,,"Asha Impact, Aavishkaar Venture Capital",2020
inFeedo,SaaS,Series C,3200000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",,"Peyush Bansal, Ritesh Malik",2020
Shilpa Sciences,HealthTech,Pre-series A,3000000.0,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,,AngelList India,2020
Arzooo,Tech Startup,Pre-series A,3000000.0,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",,"3Lines, Jabbar Internet Group",2020
MindTickle,SaaS,Series B,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,,"Canaan Partners, NewView Capital",2020
Slice,FinTech,Series B,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,,"Better Capital, Gunosy",2020
Rapawalk,E-commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,,"Sanjay Ramakrishnan, Ravi Garikipati",2020
Oga Fit's,Fitness startup,Pre-series A,3000000.0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,,9Unicorns,2020
LAVAL,Cosmetics,Pre-series A,3000000.0,Bangalore,"Laval Cosmetics, affordable makeup for all ages",,Jazal Group,2020
Stride Ventures,Finance,Pre-series A,80000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,,Small Industries Development Bank of India,2020
BlackSoil,FinTech,Pre-series A,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,,Inflection Point Ventures,2020
Biocon,Health,Pre-series A,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",,Goldman Sachs,2020
Clientjoy,SaaS,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,,"LetsVenture, Jyotsna Bapat",2020
Xpressbees,E-commerce,Pre-series A,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,,"Alibaba Group, InnoVen Capital",2020
GalaxyCard,FinTech,Seed,3000000.0,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,,India Accelerator,2020
Wellness Forever,HealthTech,Seed,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,,"Poonawalla, Allana Group",2020
MoooFarm,Agriculture,Pre-seed,500000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,,"Navus Ventures, Rockstart",2020
BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,,"AET Japan, Figure Eight Investments, Waterbridge Ventures",2020
Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,,"Sweta Rau, Archana Priyadarshini",2020
Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,,"Rajul Garg, Purvi Capital",2020
Kirana King,Retail,Pre-series A,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",,Rajasthan Venture Capital Fund,2020
Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",,Inflection Point Ventures,2020
iKure,HealthTech,Seed,3000000.0,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",2020
FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",,"Lightspeed, Elevation, Deepika Padukone",2020
Reliance Retail,E-commerce,Seed,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,,"Abu Dhabi Investment Authority, GIC",2020
TUBBR,Social Media,Seed,3000000.0,Frisco,World's First Personal Social Network,,Global Ascent Partners,2020
Ather Energy,Automotive,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,,HeroMotoCorp Ltd and Sachin Bansal,2020
Routematic,SaaS,Series D,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,,"VAMM Ventures, Naresh Malhotra",2020
LivFin,FinTech,Series D,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),,"DEG, KFW DEG",2020
Universal Sportsbiz Pvt Ltd,Fashion,Series D,3000000.0,Bangalore,A fashion startup based in Bengaluru.,,"Accel, Alteria Capital",2020
Lattu Kids,EdTech,Series D,3000000.0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,,Mumbai Angels Network,2020
Eggoz,Food & Beverage,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",,"AVANA Capital, Rebright Partners",2020
Steradian Semiconductors,Deeptech,Pre-series A,3000000.0,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,,Endiya Partners.,2020
CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",,Mumbai Angels,2020
Stones2milestones,EdTech,Pre-series A,2000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,,"Menterra Venture Advisors, Emandi Sankara Rao",2020
Udacity,EdTech,Series B,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",,"Hercules Capital, Inc.Bertelsmann",2020
AjnaLens,AR/VR startup,Series B,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",,"Mohsin Hani Al Bahrani, MoD",2020
Gully Network,E-commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,,"CP Ventures, Orios Venture Partners",2020
TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,,"Kia Ora Ventures, Pentathlon Ventures",2020
Traya,HealthTech,Seed,3000000.0,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,,"Kae Capital, Whiteboard Capital",2020
Charcoal Eats,QSR startup,Seed,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",,Lokmat Investments,2020
Mitron TV,Video platform,Seed,3000000.0,Bangalore,Mitron is a free short videoplatform for next generation,,9Unicorns,2020
Svami,Food & Beverage,Seed,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,,"Niren Shah, Rukam Capital Trust",2020
Dhurnia,EdTech,Seed,100000.0,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,,"Chandigarh Angels Network, Modulor Capital",2020
Expertrons,EdTech,Seed,3000000.0,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,,"Rohit Chanana, Sukanta Ganguly",2020
Leena AI,AI startup,Seed,8000000.0,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,,"Alan Patricof, Jim Moffatt",2020
Bizlog,Logistics,Seed,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,,IAN Fund,2020
Tamasha.live,Gaming,Seed,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",,"9Unicorns, Titan Capital, FirstCheque",2020
Fedo,AI startup,Seed,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,,AIM Smart City,2020
FabHotels,Hospitality,Seed,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,,"RB Investments Pte. Ltd, Goldman Sachs",2020
Freshokartz,Agriculture,Pre-series A,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",,"Rajasthan Venture Capital Fund, Innovana Thinklabs",2020
FlexiLoans,FinTech,Series B,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",,>Vikram Sud,2020
Agrix,Agriculture,Series B,3000000.0,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",,Maple Capital Advisors,2020
BharatAgri,Agriculture,Pre-series A,3000000.0,Pune,A Smart Farming Technology Platform for Indian Farmers,,"021 Capital, India Quotient",2020
FreshtoHome,E-commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,,"Ascent Capital, Iron Pillar",2020
Credable,FinTech,Series C,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,,Oaks Asset Management,2020
Railofy,Logistics,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,,"Roots Ventures, Better Capital",2020
Finova Capital,FinTech,Seed,55000000.0,Jaipur,Finova Capital is a non-banking financial company.,,"Sequoia Capital India, Faering Capital",2020
Teachmint,EdTech,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,,Lightspeed India,2020
Peel-Works,E-commerce,Seed,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,,"CESC Ventures, Brun Raschle",2020
Janani,Fertility tech,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,,9Unicorns,2020
Credgenics,FinTech,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",,"Accel, Sunder Nookala",2020
Finelistings,Luxury car startup,Seed,3000000.0,New Delhi,A Used Luxury Car Marketplace,,Justdial,2020
Wellversed,Health,Pre-series A,3000000.0,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,,"KLUB Works, Shankar Narayanan",2020
Jumbotail,E-commerce,Series B,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",,Nexus Venture Partners and 23 High Networth Individuals (HNIs),2020
Winzo,Gaming startup,Series B,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,,"Makers Fund, Courtside Ventures",2020
mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",,"RPSG Ventures, Amicus Capital",2020
Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,,"Times Group, Lightspeed",2020
Snackible,Health,Series A,3000000.0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,,"Mumbai Angels, Murali Nair",2020
FreshtoHome,E-commerce,Series A,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,,"Ascent Capital, Iron Pillar",2020
Jumbotail,Retail,Series B,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,,"Nexus Venture Partners, Capria Ventures",2020
Nykaa,E-commerce,Series B,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,,"Katrina Kaif, Steadview Capital",2020
TagZ Foods,Food,Series B,3000000.0,Bangalore,TagZ Foods is a supplier of snacks and food products.,,"Exfinity Venture Partners, Shesh Kondi",2020
Genius Teacher,EdTech,Series B,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",,"Sandeep Tandon, Daniel Lapus",2020
Krimanshi Feeds,Nutrition sector,Series B,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,,"Rajasthan Venture Capital Fund, AIM Smart City",2020
Origo,Agriculture,Series B,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,,Northern Arc Capital,2020
GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,,"Samyakth Capital, Venture Catalysts",2020
Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,,Jungle Ventures,2020
Biddano,Health,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,,Windrose Capital,2020
InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,,"Base Partners, Sequoia Capital India",2020
Arzooo,Retail,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",,"3Lines, Jabbar Internet Group",2020
Hubilo,Tech,Seed,4500000.0,San Francisco,World’s smartest virtual event platform that brings Experience & Intelligence together,,"Nishant Rao, Jonathan Boutelle",2020
BASIC Home Loan,FinTech,Seed,5000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",,Picus Capital,2020
Ketos,AI startup,Seed,18000000.0,San Francisco,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,,"Citi Ventures, Illuminated Funds Group",2020
SUGAR cosmetics,Cosmetics,Series B,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,,"A91 Partners, RB Investments Pte. Ltd",2020
Signzy,FinTech,Series B,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,,"GenNext Ventures, Contrarian Drishti Partners",2020
Ahaguru,EdTech,Series A,3000000.0,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",,Anand Mahindra,2020
Tekion,AI startup,Series C,150000000.0,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,,"Alliance Ventures, Storm Ventures",2020
Brighteye Ventures,EdTech,Series C,5400000.0,Paris,Education technology venture capital firm.,,Tandem,2020
EzeRx,Medtech,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,,"Indian Oil Corporation, Krishna Chakravarty",2020
VitalTech,HeathTech,Seed,3000000.0,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",,Tech Mahindra,2020
Genius Teacher,EdTech,Seed,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",,"Whiteboard Capital, VKG Ventures LLP.",2020
Ultraviolette Automotive,Automotive,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,,TVS Motor Company,2020
Tring,Social Media,Series B,3000000.0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",,"Sujeet Kumar, Hemesh Singh",2020
Rare Planet,Retail,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,,Venture Catalysts,2020
GoodGamer,Gaming,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,,Inflection Point Ventures,2020
InnAccel,Medtech,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",,Mount Judi Ventures,2020
